iter	Passed	Remaining
541	14695	12417
542	14719	12388
543	14747	12361
544	14771	12331
545	14797	12304
546	14823	12276
547	14844	12243
548	14868	12214
549	14895	12187
550	14921	12159
551	14942	12127
552	14966	12097
553	14987	12065
554	15012	12037
555	15038	12008
556	15064	11981
557	15089	11952
558	15118	11926
559	15143	11898
560	15169	11870
561	15195	11842
562	15215	11809
563	15240	11781
564	15265	11753
565	15290	11724
566	15316	11696
567	15339	11666
568	15363	11637
569	15387	11608
570	15410	11578
571	15433	11548
572	15459	11520
573	15484	11492
574	15511	11465
575	15534	11435
576	15559	11406
577	15582	11377
578	15604	11345
579	15627	11316
580	15651	11287
581	15676	11258
582	15702	11231
583	15727	11203
584	15751	11174
585	15773	11143
586	15797	11114
587	15821	11085
588	15845	11056
589	15871	11029
590	15892	10998
591	15916	10969
592	15938	10939
593	15961	10909
594	15981	10878
595	16007	10850
596	16031	10822
597	16054	10792
598	16078	10763
599	16123	10749
600	16155	10725
601	16181	10697
602	16203	10667
603	16226	10638
604	16252	10610
605	16274	10580
606	16297	10552
607	16324	10524
608	16344	10493
609	16366	10464
610	16392	10436
611	16416	10408
612	16439	10378
613	16462	10349
614	16485	10320
615	16506	10289
616	16526	10258
617	16547	10228
618	16571	10200
619	16592	10169
620	16614	10139
621	16639	10111
622	16664	10084
623	16699	10062
624	16733	10040
625	16766	10017
626	16802	9995
627	16829	9969
628	16863	9946
629	16893	9921
630	16923	9896
631	16949	9869
632	16987	9849
633	17023	9827
634	17051	9801
635	17082	9776
636	17111	9751
637	17139	9725
638	17160	9694
639	17181	9664
640	17217	9642
641	17243	9615
642	17284	9596
643	17321	9575
644	17351	9549
645	17380	9524
646	17411	9499
647	17444	9475
648	17475	9451
649	17501	9423
650	17537	9402
651	17564	9375
652	17590	9347
653	17617	9320
654	17640	9291
655	17671	9267
656	17698	9239
657	17724	9212
658	17749	9184
659	17775	9157
660	17804	9131
661	17828	9102
662	17851	9073
663	17876	9045
664	17902	9018
665	17928	8991
666	17953	8963
667	17978	8935
